Dam_ID,Dam_Name,River,State,Latitude,Longitude,Crest_Elevation_m,Dam_Height_m,Water_Head_m,Reservoir_Volume_MCM,Reservoir_Volume_m3,Failure_Mode,Channel_Slope,Mannings_n,Reach_Length_km,Breach_Width_m,Time_to_Failure_hr,Peak_Outflow_m3s,SPH_Near_Field_Jet_mps,Delft3D_Wave_Celerity_mps,Total_Pop_At_Risk,Bridges_At_Risk,Villages_At_Risk,Agri_Loss_ha,Economic_Exposure_Cr_INR,Primary_Data_Source
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),Rishi Ganga / Dhauliganga,Uttarakhand,30.4905,79.6965,2040,35.0,30.0,12.5,12500000.0,landslide_breach,0.035,0.045,32.5,75.06,0.66,40763.9,22.0,20.3,8315,2,3,1229.0,150.0,CWC NRLD / NDMA / WIHG / SRTM DEM
subansiri,Subansiri Lower Hydroelectric Project,Subansiri (Brahmaputra Basin),Arunachal Pradesh / Assam,27.5539,94.2592,210,116.0,95.0,450.0,450000000.0,overtopping,0.0018,0.032,62.0,247.43,1.25,742743.4,22.0,20.3,67200,1,3,16389.0,892.5,CWC NRLD / NDMA / WIHG / SRTM DEM
tehri,Tehri Dam,Bhagirathi River,Uttarakhand,30.3781,78.4803,830,260.5,235.0,350.0,350000000.0,piping,0.009,0.038,70.0,182.1,0.45,4175130.6,22.0,20.3,81550,2,2,16261.0,745.0,CWC NRLD / NDMA / WIHG / SRTM DEM
mullaperiyar,Mullaperiyar Dam,Periyar River,Kerala / Tamil Nadu,9.5292,77.1428,880,53.6,43.0,150.0,150000000.0,overtopping,0.008,0.04,39.0,168.65,1.6,129537.0,22.0,20.3,48600,1,1,8607.0,327.5,CWC NRLD / NDMA / WIHG / SRTM DEM
kosi,Kosi River Embankment (Kusaha Reach),Kosi ('Sorrow of Bihar'),Bihar (Indo-Nepal Border),26.5298,86.9387,78,12.0,8.5,85.0,85000000.0,piping,0.0006,0.028,55.0,101.38,5.0,5032.4,12.9,3.1,214200,1,4,27276.5,248.0,CWC NRLD / NDMA / WIHG / SRTM DEM
phuktal,Phuktal River Landslide Dam (Zanskar 2015),Phuktal / Tsarap Chu (Indus Basin),Ladakh / Jammu & Kashmir,33.2685,77.165,3850,60.0,52.0,24.0,24000000.0,landslide_breach,0.022,0.048,42.0,94.54,0.53,138573.4,22.0,20.3,5340,1,2,1084.8,113.2,CWC NRLD / NDMA / WIHG / SRTM DEM
wapriyang,Wapriyang River Blockage (Arunachal 2021),Wapriyang / Siang Basin,Arunachal Pradesh,28.485,94.882,740,45.0,38.0,18.0,18000000.0,landslide_breach,0.02,0.042,45.0,85.15,0.63,69657.0,22.0,20.3,35250,2,2,4563.0,147.4,CWC NRLD / NDMA / WIHG / SRTM DEM
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),Jhelum River,Jammu & Kashmir,33.725,75.148,1592,16.0,13.0,135.0,135000000.0,overtopping,0.0008,0.029,56.0,155.44,5.0,14833.3,16.0,4.59,299000,2,2,38377.5,358.0,CWC NRLD / NDMA / WIHG / SRTM DEM
